trial,reservoir_size,spectral_radius,reservoir_connectivity,input_scaling,washout,alpha,ridge
56,134,0.9723787706941676,0.020380757666628484,0.9733605499200052,100,0.622530760364837,8.594137375934103e-05
57,59,0.7314367386922662,0.049110738270818,0.7556905545874338,200,0.4927544954835472,8.648551925947733e-05
58,79,0.8117066756699709,0.06189292391469397,0.32925025552472376,300,0.10152215039676653,5.0384930286066386e-05
59,187,0.8991885726052127,0.09462368083577981,0.7633339241412703,100,0.42779932460313774,1.9050011601815988e-08
60,134,0.8807150688844586,0.069704872863899,0.212162784097931,200,0.5564102536317422,4.651270706493195e-06
61,133,0.8166961122467401,0.03660896822733523,0.21455901915323788,300,0.6984364907914944,3.2853459543228335e-07
62,94,0.8784993256259004,0.03708548871090088,0.5931434918221284,50,0.3734874543415184,6.929960186315872e-08
63,198,0.8759318554391311,0.03900243067628843,0.49760741515415763,100,0.5600565971871284,1.4960344570440639e-05
64,93,0.8910667160495422,0.03554077644937247,0.6974684526744989,500,0.4016694298688208,1.8779925199905682e-05
65,110,0.8951107444615785,0.030217659939755948,0.279216939453919,50,0.1415923462834826,8.624701857617647e-05
66,68,0.8320706888302258,0.08975232181458834,0.6181038094683863,300,0.5449394521093932,9.461015594209895e-08
67,51,0.9588713496012963,0.08743965088802692,0.8969186849588794,300,0.2969570231310875,1.6460363614937434e-05
68,182,0.8347194665265331,0.060166521463005586,0.9257230130098961,50,0.5108156429231553,1.6057073927543807e-05
69,185,0.9864888113892699,0.06359070866224778,0.9550356475988403,300,0.6513870904855865,7.535218412560325e-06
70,179,0.8237548194890101,0.09161692574105021,0.5013222508690304,100,0.7692898979436265,7.91949971095443e-07
71,116,0.9180152680851483,0.08558765990577287,0.34958021781766646,500,0.5361373153632402,9.05698097060561e-08
72,162,0.7224701726207734,0.03571553357768373,0.34454359637396614,200,0.9037241495112851,2.100441694660558e-08
73,88,0.7670658291211742,0.07245548310691471,0.735777227525097,50,0.47338110630839636,2.1063258813423256e-07
74,169,0.8205745278899153,0.028615095056296926,0.4781291659960831,500,0.9514558302310905,1.1970928227007176e-08
75,197,0.8103104983890363,0.010530647522559377,0.41658292240464223,300,0.8681031555121942,6.512104392076315e-05
76,157,0.8560839646069671,0.0761170654680722,0.8198813538471409,100,0.5394065297952254,1.235211274448901e-07
77,174,0.7084171977845474,0.04025165893285442,0.7112276965255148,300,0.7517632398645598,2.301561860830044e-05
78,82,0.9844093734804877,0.0580711266579254,0.9162359763280915,500,0.6079527847222967,1.2835363880517831e-08
79,159,0.7393528512968636,0.051552859964636065,0.1452561701397648,300,0.39461740024756087,6.58866308262864e-07
80,136,0.9207566152892679,0.04412135940077227,0.7768088411993064,300,0.32704437860414254,2.1263019185411875e-08
81,54,0.9172170357140267,0.014687704741892994,0.9567277231437289,100,0.6851296839248875,1.3333132605769328e-05
82,60,0.9187276291772626,0.095465055944439,0.2794246141262796,50,0.6592020909275421,8.998699877180618e-08
83,171,0.8941430649397741,0.06075726237370173,0.29616808681585327,200,0.7902082885206168,4.68982430970743e-08
84,79,0.9255596469908755,0.024738922915047926,0.3799350276387399,500,0.12311058294771943,1.7694120378313005e-07
85,146,0.8150297880398218,0.07435132345445215,0.16839683005875397,100,0.1917111749013789,1.2300521935493664e-05
86,80,0.9309058928140614,0.06093392998305844,0.1369622171855225,500,0.48554021191127006,3.0358723370089033e-07
87,179,0.8877875436764735,0.011138693514926778,0.4780528667576448,300,0.19498498357959873,6.968675933498943e-05
88,167,0.9051195066747623,0.04919384305069094,0.7604157736120527,200,0.654321118648196,4.769475559086267e-05
89,173,0.8348133937740072,0.08431611385786801,0.6332271571573315,200,0.8665418440173986,2.1034106841530037e-05
90,72,0.7808891922658163,0.05057218001743935,0.7754286536443056,500,0.6492985338074686,3.280629731784137e-07
91,57,0.8433488860486174,0.039251275109988354,0.53879493915221,200,0.8180491211452868,2.2980282998766466e-07
92,120,0.8611793980966793,0.05649645265434408,0.271950781174389,100,0.7480671976937748,9.001427489383885e-07
93,111,0.9002767084394916,0.0681312609766857,0.5417392015707275,50,0.1837480154992045,7.698136399723999e-08
94,112,0.7887997487377256,0.062340002679913055,0.5259344398835722,500,0.4093816547315823,9.694509841040296e-05
95,190,0.7959294761868198,0.07325694479671921,0.3438247842785767,200,0.30748423716865697,7.676041698853342e-06
96,130,0.7346708749639653,0.05822775688453749,0.7859706485356927,100,0.2723868757094903,9.003650202388795e-06
97,120,0.9101296503169849,0.09789463205947511,0.572173182197747,200,0.9824595674162617,2.1404912325700816e-05
98,125,0.7659701174099408,0.026149738931686303,0.11273353053045745,500,0.21392466386318348,1.520767434138911e-08
99,63,0.8604741003715963,0.0727675653619175,0.213651543662568,300,0.1923288821089846,1.1195967097566568e-08
100,122,0.8361251140298479,0.04964219183224093,0.26592730335107356,50,0.32723055144367535,2.798284446105421e-05
101,79,0.9384135371368347,0.04606366980267459,0.16667395323007583,50,0.2365543062558608,1.7561770810348906e-05
102,127,0.7247024634349066,0.032337185968910456,0.6022657311558656,300,0.6456858861186665,1.455336157315831e-05
103,107,0.924951126512483,0.04423402235318945,0.9176539398614235,200,0.8741499992435621,9.122734629021128e-05
104,128,0.8649025464810276,0.015420727393528677,0.9640978996908692,50,0.9528311802928402,6.778781308691132e-08
105,104,0.7767473763341021,0.017306871892028588,0.3158786599072232,500,0.16755838201105114,1.0249504971016984e-08
106,165,0.899917629377583,0.052292123110691736,0.12937586984283186,200,0.7362602468911299,6.485601080683066e-06
107,166,0.720642130444509,0.031008142554402304,0.3380991630930097,500,0.6950647385680311,5.4284248982510964e-05
108,158,0.7332851277137032,0.030232850523942145,0.2340904609677963,200,0.8439680436850536,1.930364612271431e-08
109,92,0.9298622842073994,0.06355396335874643,0.8418162711880083,200,0.4952381038063637,7.495349375195107e-07
110,127,0.902922768642958,0.09484086166696368,0.550424959406133,300,0.4939829772144382,2.466872185040647e-06
111,160,0.9130148377528284,0.06433422768513196,0.1232784031495019,100,0.9657199919735531,2.2071632461402365e-05
112,197,0.8702656501958371,0.011867091059398033,0.7882843420285987,200,0.6186222861424722,1.1283296918272204e-05
113,94,0.8364452387429737,0.06863585404903177,0.9244655091340908,100,0.9972509274393071,5.540385044822813e-07
114,175,0.981026018459054,0.05230093554643166,0.46751328408701376,200,0.7031201585690668,2.6973194100477584e-05
115,134,0.8193770760384601,0.05459221188679041,0.6963251832922859,300,0.8322094312641753,1.586304060425016e-06
116,166,0.7255373399049786,0.0327158965847987,0.20432944128786207,300,0.8784195256466911,1.9939249745400338e-05
117,50,0.8907215120801074,0.05883342349214756,0.4719228137193894,100,0.5665954532146559,3.094108154654229e-06
118,177,0.8813685352220526,0.07839914824549153,0.2832024145152465,500,0.2179119060554019,1.4194384978990722e-07
119,174,0.7352135641751597,0.0975832134239525,0.6479845003737684,100,0.7388045425902332,1.7498489190676728e-07
120,53,0.8601529086255826,0.01838882811533703,0.9930314254556977,50,0.5153031047609051,2.9502892467771283e-08
121,89,0.8445288963650865,0.0744942993392612,0.5579848135625606,200,0.4739413086418177,8.511347218668142e-07
122,170,0.7706819627617901,0.05961385691924228,0.445227411922435,500,0.5574168024336046,3.290826762932893e-05
123,67,0.7801117468183918,0.08110055638028021,0.4734481811962107,500,0.3404553967602143,1.0239082385744508e-08
124,126,0.9428680175558621,0.062193104549506384,0.6939466777494274,100,0.501892653738875,8.656962618619795e-07
125,135,0.8600560509505352,0.05890870566628058,0.509810155179851,200,0.8826415149106617,8.37719308050515e-05
126,111,0.8658213161756213,0.031020620145210384,0.7979900275893329,50,0.38635869451041993,7.796595465127693e-07
127,147,0.8119628382223849,0.06973199465360813,0.8386727965385995,100,0.5457957846547812,1.4063015174505011e-08
128,178,0.9799525411512875,0.03987952335382274,0.1903281419483671,300,0.18974052796778057,4.3829519625774975e-05
129,53,0.9095087099954864,0.0468980757771728,0.6893031937849604,100,0.16734542341933795,1.3369069010198215e-05
130,117,0.7981827578749152,0.0723434138728194,0.6848529873213454,200,0.8671072029093038,2.737592085744666e-05
131,147,0.976700481860576,0.0664119261107189,0.898694814618391,300,0.8851447156586827,1.3918627091343076e-08
132,67,0.7680833704995862,0.07159596169653251,0.3586411036378393,100,0.7720897300641343,5.443596017689175e-07
133,75,0.920507210968337,0.07335017463961341,0.1904565162905357,100,0.7246010465139111,4.108622576243392e-05
134,61,0.7940686533665776,0.015050730529450624,0.4226170080703271,300,0.2310128161294586,1.3324940320570245e-06
135,194,0.8977221076922912,0.026205119753618,0.2575624195566141,500,0.8837556387803693,3.0119064196578892e-06
136,111,0.8443235031867058,0.062484141758684775,0.3089695998656371,200,0.5136134492590579,4.649035570660109e-06
137,169,0.9613507328436761,0.07098497971291716,0.24217805986460827,300,0.9507120714411814,8.924970326865873e-05
138,126,0.8852922236844035,0.0481878044614808,0.3250884019669311,200,0.2792952991980031,3.4575860383296173e-07
139,173,0.7309294475524847,0.044322786789186615,0.42306324181952126,200,0.9934228392642078,1.5167814739594578e-07
140,151,0.779599310251686,0.06093361152601291,0.7172195434606109,50,0.9195552583468395,9.5650802163696e-06
141,123,0.9249648840849805,0.03071065518733747,0.8217387617907588,100,0.6729560902053027,3.0448412355015606e-06
142,85,0.8821919500692005,0.09130633336656711,0.6817065480014706,200,0.8097494356091385,1.3597470490775282e-08
143,143,0.9123843327023791,0.018112003817159706,0.3655994064662398,300,0.258076063399876,3.377840907897591e-08
144,188,0.9541735730449257,0.04292717775536115,0.5516152860383561,200,0.8474253576106576,1.066302281038977e-07
145,173,0.9805413820883755,0.03656273042552427,0.8833572633925357,50,0.5214982499674258,2.0007712750452147e-08
146,107,0.9494407731006583,0.07517950408679663,0.981948018503713,500,0.4291975444650098,1.4545473865681878e-05
147,53,0.7766929877222029,0.021122986308714314,0.4317270927544351,200,0.6261040824869495,1.948360000086454e-05
148,145,0.7314203696377769,0.031043971199042487,0.1225221846818341,500,0.3952056536356383,2.756314586688224e-06
149,66,0.8842671374896023,0.05178407826904124,0.7309694489238497,300,0.205008343054349,1.5184036674618495e-08
150,59,0.7882657294632415,0.05433621570803854,0.18747279875963946,500,0.22209764383570288,6.524917539958627e-07
